Job Title,Company,Location,Salary,Skills,Experience,Posted Date
AI/ML Engineer,Tech Company 380,Ho Chi Minh,26-58 millions,"Python, TensorFlow, CV",Senior,2025-11-23
Mobile Developer,Tech Company 309,Ho Chi Minh,42-78 millions,"Flutter, Dart",Lead,2025-06-01
Mobile Developer,Tech Company 389,Ho Chi Minh,8-17 millions,React Native,Fresher,2024-01-07
DevOps Engineer,Tech Company 53,,26-59 millions,"Azure, CI/CD, Terraform",Senior,2024-12-10
DevOps Engineer,Tech Company 275,Ho Chi Minh,7-16 millions,"Linux, Jenkins, Ansible",Fresher,2025-04-15
Frontend Developer,Tech Company 296,,8-16 millions,"Angular, RxJS",Fresher,2025-01-05
Data Scientist,Tech Company 195,Ho Chi Minh,18-31 millions,"SQL, Tableau, Python",Junior,2024-04-13
DevOps Engineer,Tech Company 360,Ha Noi,15-28 millions,"AWS, Docker, K8s",Junior,2024-09-30
Fullstack Developer,Tech Company 139,,44-77 millions,"Python, VueJS, Docker",Lead,2025-01-23
Data Scientist,Tech Company 118,Ha Noi,65-113 millions,"Python, PyTorch, AWS",Manager,2024-02-27
Mobile Developer,Tech Company 449,Ha Noi,25-59 millions,"Swift, iOS",Senior,2025-08-03
Tester/QA,Tech Company 136,Ho Chi Minh,29-58 millions,"Automation, Cypress",Senior,2024-05-26
AI/ML Engineer,Tech Company 186,Ha Noi,9-20 millions,"C++, CUDA, Computer Vision",Fresher,2025-02-12
Tester/QA,Tech Company 322,Can Tho,14-26 millions,"Selenium, Python",Junior,2024-06-05
Frontend Developer,Tech Company 129,,16-32 millions,"HTML, CSS, JS",Junior,2025-06-25
Backend Developer,Tech Company 394,Da Nang,54-92 millions,"Python, Django",Manager,2024-09-30
Mobile Developer,Tech Company 498,Ho Chi Minh,27-59 millions,React Native,Senior,2024-09-26
Frontend Developer,Tech Company 79,Ho Chi Minh,28-57 millions,"Angular, RxJS",Senior,2024-07-22
Backend Developer,Tech Company 450,Ho Chi Minh,16-28 millions,"Go, Microservices",Junior,2025-01-06
Data Scientist,Tech Company 44,Ha Noi,64-112 millions,"Python, Pandas, Scikit-learn",Manager,2024-03-21
Fullstack Developer,Tech Company 136,Ha Noi,28-59 millions,"React, Node.js, Mongo",Senior,2024-06-18
Data Scientist,Tech Company 160,Ha Noi,28-58 millions,"Python, PyTorch, AWS",Senior,2025-12-31
DevOps Engineer,Tech Company 116,Ha Noi,18-29 millions,"Azure, CI/CD, Terraform",Junior,2024-09-10
Data Scientist,Tech Company 31,Ho Chi Minh,7-16 millions,"Python, PyTorch, AWS",Fresher,2025-10-08
DevOps Engineer,Tech Company 110,Da Nang,13-23 millions,"AWS, Docker, K8s",Junior,2025-05-12
Tester/QA,Tech Company 49,Ha Noi,28-59 millions,"Manual Testing, SQL",Senior,2024-07-13
