Job Title,Company,Location,Salary,Skills,Experience,Posted Date,Avg_Salary_Million,Exp_Level
AI/ML Engineer,Tech Company 380,Ho Chi Minh,26-58 millions,"python, tensorflow, cv",Senior,2025-11-23,42.0,3
Mobile Developer,Tech Company 309,Ho Chi Minh,42-78 millions,"flutter, dart",Lead,2025-06-01,60.0,4
Mobile Developer,Tech Company 389,Ho Chi Minh,8-17 millions,react native,Fresher,2024-01-07,12.5,1
DevOps Engineer,Tech Company 275,Ho Chi Minh,7-16 millions,"linux, jenkins, ansible",Fresher,2025-04-15,11.5,1
Data Scientist,Tech Company 195,Ho Chi Minh,18-31 millions,"sql, tableau, python",Junior,2024-04-13,24.5,2
DevOps Engineer,Tech Company 360,Ha Noi,15-28 millions,"aws, docker, k8s",Junior,2024-09-30,21.5,2
Data Scientist,Tech Company 118,Ha Noi,65-113 millions,"python, pytorch, aws",Manager,2024-02-27,89.0,5
Mobile Developer,Tech Company 449,Ha Noi,25-59 millions,"swift, ios",Senior,2025-08-03,42.0,3
Tester/QA,Tech Company 136,Ho Chi Minh,29-58 millions,"automation, cypress",Senior,2024-05-26,43.5,3
AI/ML Engineer,Tech Company 186,Ha Noi,9-20 millions,"c++, cuda, computer vision",Fresher,2025-02-12,14.5,1
Tester/QA,Tech Company 322,Can Tho,14-26 millions,"selenium, python",Junior,2024-06-05,20.0,2
Backend Developer,Tech Company 394,Da Nang,54-92 millions,"python, django",Manager,2024-09-30,73.0,5
Mobile Developer,Tech Company 498,Ho Chi Minh,27-59 millions,react native,Senior,2024-09-26,43.0,3
Frontend Developer,Tech Company 79,Ho Chi Minh,28-57 millions,"angular, rxjs",Senior,2024-07-22,42.5,3
Backend Developer,Tech Company 450,Ho Chi Minh,16-28 millions,"go, microservices",Junior,2025-01-06,22.0,2
Data Scientist,Tech Company 44,Ha Noi,64-112 millions,"python, pandas, scikit-learn",Manager,2024-03-21,88.0,5
Fullstack Developer,Tech Company 136,Ha Noi,28-59 millions,"react, node.js, mongo",Senior,2024-06-18,43.5,3
Data Scientist,Tech Company 160,Ha Noi,28-58 millions,"python, pytorch, aws",Senior,2025-12-31,43.0,3
DevOps Engineer,Tech Company 116,Ha Noi,18-29 millions,"azure, ci/cd, terraform",Junior,2024-09-10,23.5,2
Data Scientist,Tech Company 31,Ho Chi Minh,7-16 millions,"python, pytorch, aws",Fresher,2025-10-08,11.5,1
DevOps Engineer,Tech Company 110,Da Nang,13-23 millions,"aws, docker, k8s",Junior,2025-05-12,18.0,2
Tester/QA,Tech Company 49,Ha Noi,28-59 millions,"manual testing, sql",Senior,2024-07-13,43.5,3
Mobile Developer,Tech Company 335,Ho Chi Minh,8-20 millions,"kotlin, android",Fresher,2025-11-20,14.0,1
Mobile Developer,Tech Company 98,Ho Chi Minh,67-110 millions,"swift, ios",Manager,2024-07-15,88.5,5
Fullstack Developer,Tech Company 227,Ho Chi Minh,27-59 millions,"java, angular, sql",Senior,2024-03-18,43.0,3
Data Scientist,Tech Company 463,Ha Noi,8-18 millions,"python, pandas, scikit-learn",Fresher,2025-02-14,13.0,1
Mobile Developer,Tech Company 217,Ho Chi Minh,10-20 millions,"swift, ios",Fresher,2024-10-19,15.0,1
Fullstack Developer,Tech Company 207,Ha Noi,9-19 millions,"react, node.js, mongo",Fresher,2024-08-28,14.0,1
Data Scientist,Tech Company 337,Da Nang,7-16 millions,"python, pytorch, aws",Fresher,2025-03-05,11.5,1
AI/ML Engineer,Tech Company 203,Ha Noi,28-56 millions,"python, tensorflow, cv",Senior,2024-09-28,42.0,3
Tester/QA,Tech Company 235,Ha Noi,10-21 millions,"java, appium",Fresher,2024-01-10,15.5,1
Frontend Developer,Tech Company 478,Ha Noi,27-57 millions,"reactjs, typescript",Senior,2024-05-15,42.0,3
Data Scientist,Tech Company 361,Ho Chi Minh,15-29 millions,"sql, tableau, python",Junior,2025-07-10,22.0,2
Backend Developer,Tech Company 136,Remote,17-26 millions,"go, microservices",Junior,2024-05-17,21.5,2
Fullstack Developer,Tech Company 105,Ho Chi Minh,7-17 millions,"java, angular, sql",Fresher,2024-12-17,12.0,1
Tester/QA,Tech Company 325,Da Nang,24-49 millions,"java, appium",Senior,2024-04-04,36.5,3
Backend Developer,Tech Company 83,Ho Chi Minh,17-30 millions,"go, microservices",Junior,2024-09-25,23.5,2
Mobile Developer,Tech Company 463,Ha Noi,25-59 millions,"flutter, dart",Senior,2025-12-08,42.0,3
DevOps Engineer,Tech Company 158,Ho Chi Minh,9-18 millions,"linux, jenkins, ansible",Fresher,2024-02-12,13.5,1
Backend Developer,Tech Company 182,Da Nang,12-23 millions,"go, microservices",Junior,2024-04-15,17.5,2
Mobile Developer,Tech Company 500,Da Nang,24-46 millions,react native,Senior,2024-06-15,35.0,3
Mobile Developer,Tech Company 411,Ho Chi Minh,26-59 millions,"flutter, dart",Senior,2025-02-25,42.5,3
Data Scientist,Tech Company 447,Ha Noi,26-58 millions,"sql, tableau, python",Senior,2025-01-26,42.0,3
Data Scientist,Tech Company 115,Ha Noi,8-20 millions,"sql, tableau, python",Fresher,2024-08-21,14.0,1
DevOps Engineer,Tech Company 180,Ho Chi Minh,10-21 millions,"azure, ci/cd, terraform",Fresher,2024-10-12,15.5,1
DevOps Engineer,Tech Company 298,Ho Chi Minh,25-59 millions,"aws, docker, k8s",Senior,2024-07-01,42.0,3
Frontend Developer,Tech Company 311,Ho Chi Minh,65-113 millions,"html, css, js",Manager,2025-03-22,89.0,5
Data Scientist,Tech Company 474,Ho Chi Minh,64-112 millions,"sql, tableau, python",Manager,2025-06-16,88.0,5
Data Scientist,Tech Company 320,Ha Noi,27-59 millions,"sql, tableau, python",Senior,2024-12-04,43.0,3
Mobile Developer,Tech Company 292,Ho Chi Minh,17-32 millions,"kotlin, android",Junior,2025-09-22,24.5,2
Backend Developer,Tech Company 311,Ha Noi,15-29 millions,"go, microservices",Junior,2025-08-16,22.0,2
Tester/QA,Tech Company 338,Ha Noi,27-58 millions,"manual testing, sql",Senior,2024-06-22,42.5,3
DevOps Engineer,Tech Company 159,Ha Noi,10-20 millions,"aws, docker, k8s",Fresher,2025-11-19,15.0,1
Backend Developer,Tech Company 234,Ho Chi Minh,15-29 millions,"python, django",Junior,2024-03-15,22.0,2
Data Scientist,Tech Company 76,Ha Noi,17-29 millions,"python, pytorch, aws",Junior,2024-09-06,23.0,2
Frontend Developer,Tech Company 266,Ho Chi Minh,26-59 millions,"html, css, js",Senior,2025-12-13,42.5,3
Frontend Developer,Tech Company 287,Ha Noi,15-29 millions,"html, css, js",Junior,2025-06-27,22.0,2
Data Scientist,Tech Company 321,Ha Noi,43-80 millions,"python, pytorch, aws",Lead,2025-05-11,61.5,4
AI/ML Engineer,Tech Company 42,Ho Chi Minh,15-29 millions,"python, tensorflow, cv",Junior,2025-07-07,22.0,2
Fullstack Developer,Tech Company 278,Ho Chi Minh,7-18 millions,"python, vuejs, docker",Fresher,2024-12-04,12.5,1
Data Scientist,Tech Company 200,Ha Noi,42-79 millions,"sql, tableau, python",Lead,2024-01-30,60.5,4
Mobile Developer,Tech Company 274,Ha Noi,17-32 millions,react native,Junior,2025-09-29,24.5,2
Backend Developer,Tech Company 94,Ho Chi Minh,9-17 millions,"python, django",Fresher,2025-04-17,13.0,1
Data Scientist,Tech Company 143,Ho Chi Minh,8-20 millions,"sql, tableau, python",Fresher,2025-01-23,14.0,1
AI/ML Engineer,Tech Company 488,Ha Noi,27-58 millions,"python, tensorflow, cv",Senior,2024-02-23,42.5,3
Backend Developer,Tech Company 319,Ha Noi,18-28 millions,"python, django",Junior,2024-01-21,23.0,2
Frontend Developer,Tech Company 86,Ho Chi Minh,16-28 millions,"vuejs, nuxt",Junior,2025-01-12,22.0,2
Frontend Developer,Tech Company 476,Remote,28-53 millions,"vuejs, nuxt",Senior,2024-01-27,40.5,3
AI/ML Engineer,Tech Company 401,Ho Chi Minh,27-55 millions,"c++, cuda, computer vision",Senior,2025-08-02,41.0,3
DevOps Engineer,Tech Company 422,Ha Noi,8-18 millions,"aws, docker, k8s",Fresher,2025-03-06,13.0,1
DevOps Engineer,Tech Company 223,Ho Chi Minh,18-29 millions,"linux, jenkins, ansible",Junior,2024-06-05,23.5,2
AI/ML Engineer,Tech Company 239,Ha Noi,17-30 millions,"c++, cuda, computer vision",Junior,2025-05-10,23.5,2
AI/ML Engineer,Tech Company 143,Ha Noi,17-31 millions,"python, nlp, huggingface",Junior,2024-03-29,24.0,2
Tester/QA,Tech Company 94,Ho Chi Minh,43-79 millions,"automation, cypress",Lead,2024-11-28,61.0,4
AI/ML Engineer,Tech Company 285,Ho Chi Minh,15-30 millions,"python, nlp, huggingface",Junior,2024-10-09,22.5,2
Frontend Developer,Tech Company 354,Da Nang,8-15 millions,"vuejs, nuxt",Fresher,2024-09-03,11.5,1
Tester/QA,Tech Company 125,Ha Noi,14-28 millions,"selenium, python",Junior,2025-12-09,21.0,2
Tester/QA,Tech Company 181,Ha Noi,16-31 millions,"java, appium",Junior,2024-12-04,23.5,2
AI/ML Engineer,Tech Company 381,Ho Chi Minh,25-55 millions,"python, tensorflow, cv",Senior,2024-05-02,40.0,3
Fullstack Developer,Tech Company 390,Ha Noi,26-57 millions,"react, node.js, mongo",Senior,2025-08-26,41.5,3
Frontend Developer,Tech Company 8,Ho Chi Minh,26-56 millions,"vuejs, nuxt",Senior,2024-11-05,41.0,3
Backend Developer,Tech Company 327,Ho Chi Minh,27-58 millions,"python, django",Senior,2024-05-09,42.5,3
Backend Developer,Tech Company 495,Ha Noi,43-79 millions,"go, microservices",Lead,2024-07-07,61.0,4
Tester/QA,Tech Company 296,Da Nang,8-15 millions,"selenium, python",Fresher,2024-03-16,11.5,1
Fullstack Developer,Tech Company 61,Ho Chi Minh,29-55 millions,"python, vuejs, docker",Senior,2024-09-11,42.0,3
Data Scientist,Tech Company 441,Ho Chi Minh,27-59 millions,"python, pytorch, aws",Senior,2024-10-31,43.0,3
Backend Developer,Tech Company 136,Ho Chi Minh,29-56 millions,"python, django",Senior,2024-08-04,42.5,3
Data Scientist,Tech Company 37,Ho Chi Minh,28-58 millions,"sql, tableau, python",Senior,2025-04-09,43.0,3
Data Scientist,Tech Company 466,Da Nang,20-46 millions,"sql, tableau, python",Senior,2024-06-01,33.0,3
Backend Developer,Tech Company 472,Ho Chi Minh,17-30 millions,"java, spring boot",Junior,2025-08-05,23.5,2
AI/ML Engineer,Tech Company 253,Ho Chi Minh,16-28 millions,"c++, cuda, computer vision",Junior,2025-07-06,22.0,2
Mobile Developer,Tech Company 493,Ha Noi,16-27 millions,"swift, ios",Junior,2024-08-22,21.5,2
Backend Developer,Tech Company 241,Da Nang,22-48 millions,"go, microservices",Senior,2024-06-28,35.0,3
AI/ML Engineer,Tech Company 497,Ho Chi Minh,29-57 millions,"python, tensorflow, cv",Senior,2025-05-18,43.0,3
DevOps Engineer,Tech Company 211,Ho Chi Minh,9-20 millions,"azure, ci/cd, terraform",Fresher,2024-12-03,14.5,1
Mobile Developer,Tech Company 60,Ho Chi Minh,27-56 millions,"flutter, dart",Senior,2024-11-27,41.5,3
Backend Developer,Tech Company 225,Ha Noi,26-55 millions,"java, spring boot",Senior,2024-10-21,40.5,3
Frontend Developer,Tech Company 256,Ho Chi Minh,18-30 millions,"html, css, js",Junior,2024-06-06,24.0,2
AI/ML Engineer,Tech Company 234,Ho Chi Minh,45-81 millions,"python, nlp, huggingface",Lead,2024-09-06,63.0,4
Fullstack Developer,Tech Company 175,Ho Chi Minh,26-58 millions,"react, node.js, mongo",Senior,2025-02-28,42.0,3
Backend Developer,Tech Company 338,Ha Noi,44-81 millions,"go, microservices",Lead,2025-08-16,62.5,4
Tester/QA,Tech Company 234,Ho Chi Minh,15-31 millions,"java, appium",Junior,2025-01-21,23.0,2
Data Scientist,Tech Company 23,Da Nang,35-67 millions,"python, pytorch, aws",Lead,2025-02-24,51.0,4
Mobile Developer,Tech Company 78,Ha Noi,18-31 millions,"kotlin, android",Junior,2025-10-29,24.5,2
DevOps Engineer,Tech Company 467,Ho Chi Minh,17-29 millions,"aws, docker, k8s",Junior,2025-06-22,23.0,2
Mobile Developer,Tech Company 174,Ha Noi,14-31 millions,react native,Junior,2024-09-28,22.5,2
Frontend Developer,Tech Company 489,Ho Chi Minh,28-59 millions,"angular, rxjs",Senior,2025-01-24,43.5,3
Tester/QA,Tech Company 472,Ha Noi,16-28 millions,"selenium, python",Junior,2025-12-01,22.0,2
Frontend Developer,Tech Company 447,Ho Chi Minh,18-31 millions,"html, css, js",Junior,2025-12-21,24.5,2
Mobile Developer,Tech Company 318,Ho Chi Minh,15-27 millions,react native,Junior,2025-01-26,21.0,2
Fullstack Developer,Tech Company 342,Ha Noi,27-56 millions,"react, node.js, mongo",Senior,2024-09-18,41.5,3
AI/ML Engineer,Tech Company 301,Ha Noi,8-16 millions,"c++, cuda, computer vision",Fresher,2024-12-19,12.0,1
DevOps Engineer,Tech Company 425,Ho Chi Minh,15-30 millions,"linux, jenkins, ansible",Junior,2024-01-23,22.5,2
Backend Developer,Tech Company 311,Ho Chi Minh,28-59 millions,"node.js, express",Senior,2024-08-23,43.5,3
Data Scientist,Tech Company 349,Ho Chi Minh,26-58 millions,"python, pytorch, aws",Senior,2025-11-06,42.0,3
Backend Developer,Tech Company 375,Ha Noi,28-55 millions,"go, microservices",Senior,2025-01-08,41.5,3
DevOps Engineer,Tech Company 449,Da Nang,6-14 millions,"linux, jenkins, ansible",Fresher,2025-07-06,10.0,1
AI/ML Engineer,Tech Company 496,Ha Noi,65-114 millions,"python, tensorflow, cv",Manager,2025-05-08,89.5,5
DevOps Engineer,Tech Company 441,Ha Noi,27-55 millions,"aws, docker, k8s",Senior,2024-08-19,41.0,3
Mobile Developer,Tech Company 275,Ha Noi,25-56 millions,"swift, ios",Senior,2024-09-27,40.5,3
AI/ML Engineer,Tech Company 56,Ho Chi Minh,8-19 millions,"c++, cuda, computer vision",Fresher,2025-01-15,13.5,1
DevOps Engineer,Tech Company 466,Ha Noi,26-55 millions,"linux, jenkins, ansible",Senior,2025-04-20,40.5,3
Frontend Developer,Tech Company 60,Ha Noi,25-55 millions,"vuejs, nuxt",Senior,2025-05-19,40.0,3
Fullstack Developer,Tech Company 485,Da Nang,7-16 millions,"java, angular, sql",Fresher,2025-12-14,11.5,1
Fullstack Developer,Tech Company 209,Ha Noi,28-59 millions,"java, angular, sql",Senior,2025-09-22,43.5,3
DevOps Engineer,Tech Company 51,Ho Chi Minh,43-81 millions,"aws, docker, k8s",Lead,2025-01-06,62.0,4
DevOps Engineer,Tech Company 486,Ho Chi Minh,65-110 millions,"aws, docker, k8s",Manager,2024-05-05,87.5,5
Data Scientist,Tech Company 403,Ha Noi,28-59 millions,"python, pytorch, aws",Senior,2024-02-21,43.5,3
Data Scientist,Tech Company 111,Remote,17-29 millions,"python, pandas, scikit-learn",Junior,2025-08-23,23.0,2
Fullstack Developer,Tech Company 67,Ho Chi Minh,25-59 millions,"python, vuejs, docker",Senior,2024-05-28,42.0,3
Frontend Developer,Tech Company 302,Ha Noi,26-56 millions,"reactjs, typescript",Senior,2024-08-31,41.0,3
Backend Developer,Tech Company 244,Ho Chi Minh,17-30 millions,"java, spring boot",Junior,2024-03-06,23.5,2
AI/ML Engineer,Tech Company 434,Da Nang,23-45 millions,"python, nlp, huggingface",Senior,2025-05-05,34.0,3
Tester/QA,Tech Company 76,Ha Noi,14-27 millions,"automation, cypress",Junior,2025-09-14,20.5,2
DevOps Engineer,Tech Company 259,Ho Chi Minh,10-19 millions,"azure, ci/cd, terraform",Fresher,2025-04-09,14.5,1
Frontend Developer,Tech Company 174,Ho Chi Minh,27-59 millions,"vuejs, nuxt",Senior,2025-02-27,43.0,3
Frontend Developer,Tech Company 489,Ho Chi Minh,27-58 millions,"angular, rxjs",Senior,2025-01-18,42.5,3
Frontend Developer,Tech Company 382,Da Nang,14-22 millions,"reactjs, typescript",Junior,2024-04-08,18.0,2
Backend Developer,Tech Company 482,Ha Noi,28-57 millions,"go, microservices",Senior,2025-11-12,42.5,3
Backend Developer,Tech Company 260,Da Nang,22-46 millions,"go, microservices",Senior,2025-08-14,34.0,3
Data Scientist,Tech Company 391,Ha Noi,15-30 millions,"python, pandas, scikit-learn",Junior,2024-04-27,22.5,2
Mobile Developer,Tech Company 137,Ho Chi Minh,16-30 millions,"flutter, dart",Junior,2025-12-11,23.0,2
AI/ML Engineer,Tech Company 290,Ho Chi Minh,8-17 millions,"python, nlp, huggingface",Fresher,2024-05-26,12.5,1
Backend Developer,Tech Company 233,Ho Chi Minh,28-56 millions,"python, django",Senior,2025-03-05,42.0,3
DevOps Engineer,Tech Company 81,Ho Chi Minh,16-31 millions,"linux, jenkins, ansible",Junior,2024-06-08,23.5,2
Frontend Developer,Tech Company 227,Ho Chi Minh,27-57 millions,"angular, rxjs",Senior,2025-09-13,42.0,3
Frontend Developer,Tech Company 304,Ho Chi Minh,16-28 millions,"angular, rxjs",Junior,2025-11-25,22.0,2
Fullstack Developer,Tech Company 383,Ho Chi Minh,15-28 millions,"java, angular, sql",Junior,2025-05-24,21.5,2
Data Scientist,Tech Company 37,Ho Chi Minh,16-30 millions,"python, pytorch, aws",Junior,2024-12-28,23.0,2
Mobile Developer,Tech Company 295,Ha Noi,16-27 millions,"flutter, dart",Junior,2024-11-16,21.5,2
Mobile Developer,Tech Company 88,Ho Chi Minh,14-27 millions,"swift, ios",Junior,2024-11-28,20.5,2
DevOps Engineer,Tech Company 302,Ha Noi,27-55 millions,"aws, docker, k8s",Senior,2025-03-22,41.0,3
AI/ML Engineer,Tech Company 40,Ho Chi Minh,15-29 millions,"c++, cuda, computer vision",Junior,2024-06-21,22.0,2
Data Scientist,Tech Company 418,Ho Chi Minh,26-59 millions,"sql, tableau, python",Senior,2025-10-22,42.5,3
AI/ML Engineer,Tech Company 39,Ho Chi Minh,7-17 millions,"python, tensorflow, cv",Fresher,2025-11-02,12.0,1
Tester/QA,Tech Company 349,Ha Noi,17-31 millions,"automation, cypress",Junior,2025-04-04,24.0,2
DevOps Engineer,Tech Company 227,Ha Noi,43-79 millions,"linux, jenkins, ansible",Lead,2025-04-25,61.0,4
Backend Developer,Tech Company 20,Ha Noi,27-56 millions,"go, microservices",Senior,2025-04-07,41.5,3
Frontend Developer,Tech Company 298,Ha Noi,9-19 millions,"reactjs, typescript",Fresher,2025-04-18,14.0,1
Backend Developer,Tech Company 165,Ha Noi,29-57 millions,"node.js, express",Senior,2024-07-11,43.0,3
Backend Developer,Tech Company 366,Ha Noi,25-59 millions,"node.js, express",Senior,2024-12-17,42.0,3
Frontend Developer,Tech Company 130,Ha Noi,25-58 millions,"angular, rxjs",Senior,2024-10-17,41.5,3
Fullstack Developer,Tech Company 159,Ha Noi,25-58 millions,"java, angular, sql",Senior,2024-12-24,41.5,3
Mobile Developer,Tech Company 287,Ha Noi,66-114 millions,react native,Manager,2024-11-13,90.0,5
Fullstack Developer,Tech Company 468,Ha Noi,17-32 millions,"python, vuejs, docker",Junior,2025-12-02,24.5,2
Mobile Developer,Tech Company 175,Ha Noi,25-56 millions,"swift, ios",Senior,2024-08-07,40.5,3
Data Scientist,Tech Company 260,Ha Noi,42-78 millions,"python, pandas, scikit-learn",Lead,2024-04-13,60.0,4
Backend Developer,Tech Company 193,Ha Noi,29-58 millions,"go, microservices",Senior,2025-09-03,43.5,3
Fullstack Developer,Tech Company 369,Ho Chi Minh,16-29 millions,"python, vuejs, docker",Junior,2025-11-23,22.5,2
AI/ML Engineer,Tech Company 159,Ho Chi Minh,17-28 millions,"c++, cuda, computer vision",Junior,2024-09-01,22.5,2
Data Scientist,Tech Company 237,Ha Noi,66-112 millions,"sql, tableau, python",Manager,2025-03-27,89.0,5
Mobile Developer,Tech Company 447,Ha Noi,28-59 millions,react native,Senior,2024-05-21,43.5,3
DevOps Engineer,Tech Company 436,Ha Noi,18-31 millions,"linux, jenkins, ansible",Junior,2025-06-12,24.5,2
Fullstack Developer,Tech Company 47,Ho Chi Minh,8-19 millions,"java, angular, sql",Fresher,2025-03-23,13.5,1
Tester/QA,Tech Company 258,Ho Chi Minh,45-79 millions,"java, appium",Lead,2025-02-09,62.0,4
Fullstack Developer,Tech Company 357,Ho Chi Minh,25-59 millions,"react, node.js, mongo",Senior,2025-04-28,42.0,3
Tester/QA,Tech Company 132,Ha Noi,27-59 millions,"automation, cypress",Senior,2024-01-20,43.0,3
Mobile Developer,Tech Company 25,Ho Chi Minh,17-28 millions,"flutter, dart",Junior,2024-05-04,22.5,2
Tester/QA,Tech Company 275,Ha Noi,14-32 millions,"selenium, python",Junior,2025-09-03,23.0,2
Data Scientist,Tech Company 181,Ha Noi,7-18 millions,"python, pytorch, aws",Fresher,2025-09-21,12.5,1
Frontend Developer,Tech Company 403,Ho Chi Minh,14-30 millions,"angular, rxjs",Junior,2025-06-03,22.0,2
Mobile Developer,Tech Company 130,Ha Noi,64-111 millions,"kotlin, android",Manager,2025-01-17,87.5,5
Frontend Developer,Tech Company 396,Ho Chi Minh,26-58 millions,"angular, rxjs",Senior,2024-04-16,42.0,3
Fullstack Developer,Tech Company 90,Ha Noi,26-56 millions,"react, node.js, mongo",Senior,2025-10-20,41.0,3
Tester/QA,Tech Company 19,Ha Noi,28-55 millions,"manual testing, sql",Senior,2025-04-13,41.5,3
Data Scientist,Tech Company 418,Ho Chi Minh,15-29 millions,"python, pandas, scikit-learn",Junior,2025-02-11,22.0,2
Data Scientist,Tech Company 170,Ho Chi Minh,26-58 millions,"sql, tableau, python",Senior,2025-11-02,42.0,3
Mobile Developer,Tech Company 174,Ha Noi,17-31 millions,"kotlin, android",Junior,2025-01-30,24.0,2
Fullstack Developer,Tech Company 339,Ho Chi Minh,15-28 millions,"python, vuejs, docker",Junior,2024-12-01,21.5,2
Mobile Developer,Tech Company 39,Ho Chi Minh,44-80 millions,"swift, ios",Lead,2024-02-28,62.0,4
